original,corrected
انگلیسی زبان,انگلیسی‌زبان
انگلیسیها,انگلیسی‌ها
انگلیسی ها,انگلیسی‌ها
انگور ها,انگورها
انگیزانهایی,انگیزان‌هایی
انگیزان هایی,انگیزان‌هایی
انگیزه ای,انگیزه‌ای
انگیزه ها,انگیزه‌ها
انگیزه های,انگیزه‌های
انگیزه هایی,انگیزه‌هایی
انگیزه ی,انگیزه‌ی
انیفورمهای,انیفورم‌های
انیفورم های,انیفورم‌های
اهانتآمیز,اهانت‌آمیز
اهانت آمیز,اهانت‌آمیز
اهریمنیها,اهریمنی‌ها
اهریمنی ها,اهریمنی‌ها
اهله ی,اهله‌ی
اهمیتدادن,اهمیت‌دادن
اهمیت دادن,اهمیت‌دادن
اواحساس,او احساس
اوتدریجا,او تدریجا
اورا,او را
اوکاملا,او کاملا
اوهمچنین,او همچنین
اوجگیری,اوج‌گیری
اوج گیری,اوج‌گیری
اولویتبندی,اولویت‌بندی
اولویت بندی,اولویت‌بندی
اولیها,اولی‌ها
اولی ها,اولی‌ها
اولیهی,اولیه‌ی
اولیه ی,اولیه‌ی
اونجایی,اون جایی
اونروز,اون روز
اونارو,اونا رو
اوناکه,اونا که
اونها,اون‌ها
اون ها,اون‌ها
ایاگوتحریک,ایاگو تحریک
ایالاتمتحده,ایالات متحده
ایالتهای,ایالت‌های
ایالت های,ایالت‌های
ایتالیاییها,ایتالیایی‌ها
ایتالیایی ها,ایتالیایی‌ها
ایثارگرانهای,ایثارگرانه‌ای
ایثارگرانه ای,ایثارگرانه‌ای
ایده آلم,ایده‌آلم
ایده اش,ایده‌اش
ایده پردازی,ایده‌پردازی
ایده ها,ایده‌ها
ایده های,ایده‌های
ایران مهر,ایرانمهر
ایرانیالاصل,ایرانی‌الاصل
ایرانی الاصل,ایرانی‌الاصل
ایرانیها,ایرانی‌ها
ایرانی ها,ایرانی‌ها
ایزوتوپهای,ایزوتوپ‌های
ایزوتوپ های,ایزوتوپ‌های
ایستاده اند,ایستاده‌اند
ایستادهایم,ایستاده‌ایم
ایستاده ایم,ایستاده‌ایم
ایستگاههای,ایستگاه‌های
ایستگاه های,ایستگاه‌های
ایفلند,ایفل‌اند
ایفل اند,ایفل‌اند
ایندفعه,این دفعه
اینروزا,این روزا
اینکارا,این کارا
اینکارها,این کارها
اینیک,این یک
ایناکیلویی,اینا کیلویی
اینجااز,اینجا از
اینجاست,این‌جاست
این جاست,این‌جاست
اینجوری,این‌جوری
این جوری,این‌جوری
اینسایدر های,اینسایدرهای
اینطور,این‌طور
این طور,این‌طور
اینطوری,این‌طوری
این طوری,این‌طوری
اینقدر,این‌قدر
این قدر,این‌قدر
اینکار,این‌کار
اینها,این‌ها
این ها,این‌ها
اینهمه,این‌همه
ایوون تون,ایوونتون
بااحتیاط,با احتیاط
بااندکی,با اندکی
بااین,با این
باپیچاندن,با پیچاندن
باتجربه,با تجربه
باتمام,با تمام
باخبرند,با خبرند
باخداوند,با خداوند
باخنده,با خنده
باخودم,با خودم
بادست,با دست
بادوستاش,با دوستاش
بادوستانتان,با دوستانتان
بادوستی,با دوستی
باطعنه,با طعنه
بافریاد,با فریاد
بافقر,با فقر
باقیمت,با قیمت
باکتاب,با کتاب
باکیسه های,با کیسه‌های
با کیسه های,با کیسه‌های
بالحنی,با لحنی
بانام,با نام
بانفوذ,با نفوذ
باهم,با هم
باهمیم,با همیم
باوجود,با وجود
بایک,با یک
با انگیزه,باانگیزه
بااینحال,بااین‌حال
بااین حال,بااین‌حال
با تقوا,باتقوا
با تکبر,باتکبر
با حجاب,باحجاب
بادکرده,باد کرده
بادبانهای,بادبان‌های
بادبان های,بادبان‌های
باد ها,بادها
باد های,بادهای
باده نوش,باده‌نوش
بادهنوشی,باده‌نوشی
باده نوشی,باده‌نوشی
باده ی,باده‌ی
بارترافیک,بار ترافیک
بارانهای,باران‌های
بار کش,بارکش
بار کشی,بارکشی
بار ها,بارها
باره اش,باره‌اش
بار های,بارهای
باره ی,باره‌ی
بارو ک,باروک
بازآیند,باز آیند
بازخواهید,باز خواهید
بازدارندهای,باز دارنده‌ای
باز دارنده ای,باز دارنده‌ای
بازساخته,باز ساخته
بازکنم,باز کنم
بازنداشت,باز نداشت
بازهم,باز هم
بازار ها,بازارها
بازار های,بازارهای
بازاریها,بازاری‌ها
بازاری ها,بازاری‌ها
باز پرداخت,بازپرداخت
بازتابگر,بازتاب‌گر
بازتاب گر,بازتاب‌گر
باز توان مند ی,بازتوانمندی
بازجویانه ی,بازجویانه‌ی
بازدارندهی,بازدارنده‌ی
بازدارنده ی,بازدارنده‌ی
بازداشتگاهها,بازداشتگاه‌ها
بازداشتگاه ها,بازداشتگاه‌ها
بازداشت گاهی,بازداشتگاهی
باز داشتند,بازداشتند
بازداشتها,بازداشت‌ها
بازداشت ها,بازداشت‌ها
باز گذاشت,بازگذاشت
باز گرداندن,بازگرداندن
باز گشتند,بازگشتند
بازگشته اید,بازگشته‌اید
بازمانده ی,بازمانده‌ی
باز نمودی,بازنمودی
باز ها,بازها
بازیرو,بازی رو
بازیچه ی,بازیچه‌ی
بازی شونه,بازیشونه
بازیها,بازی‌ها
بازی ها,بازی‌ها
بازیهای,بازی‌های
بازی های,بازی‌های
بازیهایی,بازی‌هایی
بازی هایی,بازی‌هایی
با شعوری,باشعوری
باشگاههای,باشگاه‌های
باشگاه های,باشگاه‌های
باغ بان,باغبان
باغهای,باغ‌های
باغ های,باغ‌های
باغوحش,باغ‌وحش
باغ وحش,باغ‌وحش
با غیرت,باغیرت
بافتها,بافت‌ها
بافت ها,بافت‌ها
بافتهی,بافته‌ی
بافته ی,بافته‌ی
باقیمانده,باقی‌مانده
باقی مانده,باقی‌مانده
باکتریها,باکتری‌ها
باکتری ها,باکتری‌ها
با گذشتی,باگذشتی
بالابرده اند,بالا برده‌اند
بالا برده اند,بالا برده‌اند
بالارفتن,بالا رفتن
بالانرو,بالا نرو
بالا تر,بالاتر
بالا ترین,بالاترین
بالادستهای,بالادست‌های
بالادست های,بالادست‌های
بالا ها,بالاها
بالدار,بال‌دار
بال دار,بال‌دار
بالهای,بال‌های
بال های,بال‌های
باله ی,باله‌ی
بامزه ای,بامزه‌ای
بامزه ی,بامزه‌ی
بامها,بام‌ها
بام ها,بام‌ها
باند های,باندهای
بانکها,بانک‌ها
بانک ها,بانک‌ها
بانکهای,بانک‌های
بانک های,بانک‌های
با نمک,بانمک
با ها مون,باهامون
باهوشتر,باهوش‌تر
باهوش تر,باهوش‌تر
باهوشترند,باهوش‌ترند
باهوش ترند,باهوش‌ترند
باور نکردنی,باورنکردنی
ببریده اند,ببریده‌اند
بتهای,بت‌های
بت های,بت‌های
بتهدار,بته‌دار
بته دار,بته‌دار
بتهها,بته‌ها
بته ها,بته‌ها
بتههای,بته‌های
بته های,بته‌های
بجور ی,بجوری
بچه گانه,بچگانه
بچگانه ی,بچگانه‌ی
بچگیهامون,بچگی‌هامون
بچگی هامون,بچگی‌هامون
بچه ات,بچه‌ات
بچه ام,بچه‌ام
بچه ای,بچه‌ای
بچه دار,بچه‌دار
بچه داری,بچه‌داری
بچه گانه ی,بچه‌گانه‌ی
بچه‌گانه ی,بچه‌گانه‌ی
بچه گانه‌ی,بچه‌گانه‌ی
بچه ها,بچه‌ها
بچه هارا,بچه‌ها را
بچه ها را,بچه‌ها را
بچه های,بچه‌های
بچه هایتان,بچه‌هایتان
بچه هایش,بچه‌هایش
بچه هایشان,بچه‌هایشان
بچه هایم,بچه‌هایم
بچه ی,بچه‌ی
بحثانگیز,بحث‌انگیز
بحث انگیز,بحث‌انگیز
بحثهای,بحث‌های
بحث های,بحث‌های
بحرانها,بحران‌ها
بحران ها,بحران‌ها
بحرانهای,بحران‌های
بحران های,بحران‌های
بخاریها,بخاری‌ها
بخاری ها,بخاری‌ها
بخاریهای,بخاری‌های
بخاری های,بخاری‌های
بختآزمایی,بخت‌آزمایی
بخت آزمایی,بخت‌آزمایی
بخشتر,بخش‌تر
بخش تر,بخش‌تر
بخشنامهی,بخش‌نامه‌ی
بخش‌نامه ی,بخش‌نامه‌ی
بخش نامه ی,بخش‌نامه‌ی
بخش نامه‌ی,بخش‌نامه‌ی
بخشهای,بخش‌های
بخش های,بخش‌های
بخشهایی,بخش‌هایی
بخش هایی,بخش‌هایی
بخشودگیهای,بخشودگی‌های
بخشودگی های,بخشودگی‌های
بخیه ی,بخیه‌ی
بدبختیهایی,بد بختی‌هایی
بد بختی هایی,بد بختی‌هایی
بدتحت,بد تحت
بدجنسانه ی,بد جنسانه‌ی
بد جنسانه ی,بد جنسانه‌ی
بددهنی,بد دهنی
بدطرحریزی,بد طرح‌ریزی
بد طرح ریزی,بد طرح‌ریزی
بدعنقی,بد عنقی
بدقواره,بد قواره
بدقول,بد قول
بدمیگم,بد میگم
بدنشان,بد نشان
بداههکاری,بداهه‌کاری
بداهه کاری,بداهه‌کاری
بدبختیهای,بدبختی‌های
بدبختی های,بدبختی‌های
بد بو,بدبو
بد بیاری,بدبیاری
بدبیاریهای,بدبیاری‌های
بدبیاری های,بدبیاری‌های
بد بینی,بدبینی
بد تر,بدتر
بد ترش,بدترش
بد ترین,بدترین
بدجنسانه ای,بدجنسانه‌ای
بد جنسی,بدجنسی
بد جور,بدجور
بدر الزمان,بدرالزمان
بد رفتار,بدرفتار
بدرقه ی,بدرقه‌ی
بد شانسی,بدشانسی
بد شگون,بدشگون
بد قلقی,بدقلقی
بد گمانی,بدگمانی
بد گویان,بدگویان
بدگوییهای,بدگویی‌های
بدگویی های,بدگویی‌های
بدلخواه,بدل‌خواه
بدل خواه,بدل‌خواه
بد مستی,بدمستی
بدنامترین,بدنام‌ترین
بدنام ترین,بدنام‌ترین
بد نامی,بدنامی
بدنه ی,بدنه‌ی
بدهکاریهای,بدهکاری‌های
بدهکاری های,بدهکاری‌های
بدهیها,بدهی‌ها
بدهی ها,بدهی‌ها
بدهیهای,بدهی‌های
بدهی های,بدهی‌های
بدیعالزمان,بدیع‌الزمان
بدیع الزمان,بدیع‌الزمان
بدیعهای,بدیع‌های
بدیع های,بدیع‌های
بدیهاشو,بدی‌هاشو
بدی هاشو,بدی‌هاشو
بذر های,بذرهای
بذله های,بذله‌های
بذله ی,بذله‌ی
برآب,بر آب
برآتش,بر آتش
برآسمان,بر آسمان
برآمدن,بر آمدن
برآنها,بر آن‌ها
بر آن ها,بر آن‌ها
براثر,بر اثر
برافق,بر افق
برانداختن,بر انداختن
براو,بر او
براین,بر این
براینکه,بر اینکه
برپای,بر پای
برپایه ی,بر پایه‌ی
بر پایه ی,بر پایه‌ی
برتخت,بر تخت
برجا,بر جا
برحریفش,بر حریفش
بر خوردیم,برخوردیم
بردل,بر دل
بردیگران,بر دیگران
برروی,بر روی
برسر,بر سر
برسرباز,بر سرباز
برسرش,بر سرش
برسرم,بر سرم
برشکیبایی,بر شکیبایی
برصحنه,بر صحنه
برعهده,بر عهده
برکردن,بر کردن
برکف,بر کف
برکناری,بر کناری
برگردوننت,بر گردوننت
برگماشته,بر گماشته
برمغز,بر مغز
برمیآید,بر می‌آید
بر می آید,بر می‌آید
